Course,Unit,Chapter,Front,Back
BIO 171: Cellular Biology,3,14: DNA Structure and Function,[...] is a technique used to separate DNA fragments according to size.,Electrophoresis is a technique used to separate DNA fragments according to size.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,Electrophoresis is a technique used to [...] according to size.,Electrophoresis is a technique used to separate DNA fragments according to size.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,During [...] Helicase help to open up the DNA helix by breaking the hydrogen bonds.,During replication Helicase help to open up the DNA helix by breaking the hydrogen bonds.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,During replication [...] help to open up the DNA helix by breaking the hydrogen bonds.,During replication Helicase help to open up the DNA helix by breaking the hydrogen bonds.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,[...] are mutations that result from exposure to chemicals or environmental factors.,Induced Mutations are mutations that result from exposure to chemicals or environmental factors.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,Induced Mutations are [...] that result from exposure to chemicals or environmental factors.,Induced Mutations are mutations that result from exposure to chemicals or environmental factors.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,During [...] the Lagging Strand is replicated in short fragments and away from the replication fork.,During replication the Lagging Strand is replicated in short fragments and away from the replication fork.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,During replication the [...] is replicated in short fragments and away from the replication fork.,During replication the Lagging Strand is replicated in short fragments and away from the replication fork.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,During replication the [...] is synthesized continously in the 5' - 3' direction - the direction of the replication fork.,During replication the Leading Strand is synthesized continously in the 5' - 3' direction - the direction of the replication fork.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,During [...] the Leading Strand is synthesized continously in the 5' - 3' direction - the direction of the replication fork.,During replication the Leading Strand is synthesized continously in the 5' - 3' direction - the direction of the replication fork.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,Ligase is a(n) [...] that catalyzes the formation of a phosphodiester linkage between the 3' OH and the 5' Phosphate ends of the DNA.,Ligase is a(n) enzyme that catalyzes the formation of a phosphodiester linkage between the 3' OH and the 5' Phosphate ends of the DNA.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,[...] is a(n) enzyme that catalyzes the formation of a phosphodiester linkage between the 3' OH and the 5' Phosphate ends of the DNA.,Ligase is a(n) enzyme that catalyzes the formation of a phosphodiester linkage between the 3' OH and the 5' Phosphate ends of the DNA.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,[...] is a type of repair mechanism during which mismatched bases are removed after replication.,Mismatch Repair is a type of repair mechanism during which mismatched bases are removed after replication.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,Mismatch Repair is a type of [...] during which mismatched bases are removed after replication.,Mismatch Repair is a type of repair mechanism during which mismatched bases are removed after replication.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,A(n) Mutation is a(n) [...] in the nucleotide sequence of a genome.,A(n) Mutation is a(n) variation in the nucleotide sequence of a genome.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,A(n) [...] is a(n) variation in the nucleotide sequence of a genome.,A(n) Mutation is a(n) variation in the nucleotide sequence of a genome.
BIO 171: Cellular Biology,3,14: DNA Structure and Function,"Nucleotide Excision Repair is a type of [...] during which the wrong base, along with a few nucleotides upstream or downstream are removed.","Nucleotide Excision Repair is a type of repair mechanism during which the wrong base, along with a few nucleotides upstream or downstream are removed."
BIO 171: Cellular Biology,3,14: DNA Structure and Function,"[...] is a type of repair mechanism during which the wrong base, along with a few nucleotides upstream or downstream are removed.","Nucleotide Excision Repair is a type of repair mechanism during which the wrong base, along with a few nucleotides upstream or downstream are removed."
